t_rel,state,x_amcl,y_amcl,yaw_amcl,dist_goal_amcl,wz,yaw_gz,x_gz,y_gz
175.01,turning,5.847,7.682,132.7,6.799,-4.5,123.5,5.745,7.581
175.06,turning,5.848,7.682,129.3,6.799,-4.5,119.5,5.741,7.581
175.12,turning,5.843,7.676,122.4,6.792,-4.256,115.6,5.738,7.582
175.19,turning,5.839,7.674,119.0,6.788,-4.078,111.8,5.734,7.582
175.25,turning,5.829,7.669,113.1,6.778,-3.765,105.0,5.727,7.584
175.31,turning,5.825,7.669,110.1,6.775,-3.612,102.6,5.724,7.584
175.38,turning,5.819,7.67,104.9,6.772,-3.34,100.4,5.721,7.585
175.46,turning,5.82,7.67,102.4,6.772,-3.207,98.3,5.718,7.585
175.53,turning,5.827,7.667,98.0,6.775,-2.976,94.5,5.712,7.587
175.60,turning,5.826,7.664,96.1,6.771,-2.879,92.6,5.708,7.588
175.60,turning,5.826,7.664,96.1,6.771,-2.879,92.6,5.708,7.588
175.72,turning,5.82,7.65,92.1,6.757,-2.669,87.6,5.697,7.590
175.78,turning,5.815,7.643,90.1,6.749,-2.564,86.2,5.693,7.591
175.84,turning,5.816,7.64,88.9,6.748,-2.498,85.0,5.690,7.592
175.90,turning,5.82,7.635,86.5,6.746,-2.4,83.7,5.686,7.593
175.96,turning,5.82,7.633,85.5,6.744,-2.4,82.7,5.683,7.594
